"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"01/12/2011","00:00","169,99","91,70","68,39"
"01/12/2011","01:00","150,01","80,92","60,35"
"01/12/2011","02:00","150,00","80,91","60,35"
"01/12/2011","03:00","149,99","80,91","60,34"
"01/12/2011","04:00","149,99","80,91","60,34"
"01/12/2011","05:00","149,99","80,91","60,34"
"01/12/2011","06:00","150,00","80,91","60,35"
"01/12/2011","07:00","160,55","86,61","64,59"
"01/12/2011","08:00","179,99","97,09","72,41"
"01/12/2011","09:00","190,00","102,49","76,44"
"01/12/2011","10:00","210,04","113,30","84,50"
"01/12/2011","11:00","210,09","113,33","84,52"
"01/12/2011","12:00","179,99","97,09","72,41"
"01/12/2011","13:00","180,00","97,10","72,41"
"01/12/2011","14:00","180,00","97,10","72,41"
"01/12/2011","15:00","180,00","97,10","72,41"
"01/12/2011","16:00","202,23","109,09","81,36"
"01/12/2011","17:00","300,00","161,83","120,69"
"01/12/2011","18:00","190,00","102,49","76,44"
"01/12/2011","19:00","180,00","97,10","72,41"
"01/12/2011","20:00","180,00","97,10","72,41"
"01/12/2011","21:00","170,00","91,70","68,39"
"01/12/2011","22:00","179,99","97,09","72,41"
"01/12/2011","23:00","170,00","91,70","68,39"
"02/12/2011","00:00","169,99","92,41","69,38"
"02/12/2011","01:00","150,00","81,54","61,22"
"02/12/2011","02:00","145,00","78,82","59,18"
"02/12/2011","03:00","140,01","76,11","57,14"
"02/12/2011","04:00","140,01","76,11","57,14"
"02/12/2011","05:00","141,25","76,78","57,65"
"02/12/2011","06:00","145,00","78,82","59,18"
"02/12/2011","07:00","149,99","81,53","61,22"
"02/12/2011","08:00","170,00","92,41","69,38"
"02/12/2011","09:00","189,99","103,28","77,54"
"02/12/2011","10:00","190,00","103,28","77,55"
"02/12/2011","11:00","199,99","108,71","81,63"
"02/12/2011","12:00","175,01","95,13","71,43"
"02/12/2011","13:00","180,00","97,85","73,47"
"02/12/2011","14:00","187,68","102,02","76,60"
"02/12/2011","15:00","188,47","102,45","76,92"
"02/12/2011","16:00","190,00","103,28","77,55"
"02/12/2011","17:00","211,64","115,05","86,38"
"02/12/2011","18:00","190,00","103,28","77,55"
"02/12/2011","19:00","189,99","103,28","77,54"
"02/12/2011","20:00","180,00","97,85","73,47"
"02/12/2011","21:00","170,00","92,41","69,38"
"02/12/2011","22:00","170,00","92,41","69,38"
"02/12/2011","23:00","169,99","92,41","69,38"
"03/12/2011","00:00","164,99","90,50","67,16"
"03/12/2011","01:00","150,00","82,28","61,06"
"03/12/2011","02:00","145,00","79,54","59,02"
"03/12/2011","03:00","139,96","76,77","56,97"
"03/12/2011","04:00","135,00","74,05","54,95"
"03/12/2011","05:00","135,00","74,05","54,95"
"03/12/2011","06:00","135,37","74,26","55,10"
"03/12/2011","07:00","144,99","79,53","59,02"
"03/12/2011","08:00","169,99","93,25","69,19"
"03/12/2011","09:00","170,00","93,25","69,20"
"03/12/2011","10:00","170,00","93,25","69,20"
"03/12/2011","11:00","179,99","98,73","73,26"
"03/12/2011","12:00","170,00","93,25","69,20"
"03/12/2011","13:00","170,00","93,25","69,20"
"03/12/2011","14:00","170,00","93,25","69,20"
"03/12/2011","15:00","170,00","93,25","69,20"
"03/12/2011","16:00","170,00","93,25","69,20"
"03/12/2011","17:00","179,99","98,73","73,26"
"03/12/2011","18:00","170,00","93,25","69,20"
"03/12/2011","19:00","170,00","93,25","69,20"
"03/12/2011","20:00","170,00","93,25","69,20"
"03/12/2011","21:00","169,99","93,25","69,19"
"03/12/2011","22:00","169,99","93,25","69,19"
"03/12/2011","23:00","169,99","93,25","69,19"
"04/12/2011","00:00","149,99","82,73","61,31"
"04/12/2011","01:00","146,79","80,97","60,00"
"04/12/2011","02:00","145,00","79,98","59,27"
"04/12/2011","03:00","139,93","77,19","57,20"
"04/12/2011","04:00","130,01","71,71","53,15"
"04/12/2011","05:00","130,93","72,22","53,52"
"04/12/2011","06:00","129,56","71,47","52,96"
"04/12/2011","07:00","124,95","68,92","51,08"
"04/12/2011","08:00","139,95","77,20","57,21"
"04/12/2011","09:00","146,79","80,97","60,00"
"04/12/2011","10:00","149,99","82,73","61,31"
"04/12/2011","11:00","150,00","82,74","61,32"
"04/12/2011","12:00","149,99","82,73","61,31"
"04/12/2011","13:00","149,99","82,73","61,31"
"04/12/2011","14:00","149,99","82,73","61,31"
"04/12/2011","15:00","148,41","81,86","60,67"
"04/12/2011","16:00","150,00","82,74","61,32"
"04/12/2011","17:00","169,99","93,77","69,49"
"04/12/2011","18:00","169,99","93,77","69,49"
"04/12/2011","19:00","166,88","92,05","68,22"
"04/12/2011","20:00","150,00","82,74","61,32"
"04/12/2011","21:00","150,00","82,74","61,32"
"04/12/2011","22:00","149,99","82,73","61,31"
"04/12/2011","23:00","146,79","80,97","60,00"
"05/12/2011","00:00","135,00","74,47","55,19"
"05/12/2011","01:00","130,00","71,71","53,14"
"05/12/2011","02:00","110,01","60,68","44,97"
"05/12/2011","03:00","94,80","52,29","38,75"
"05/12/2011","04:00","94,80","52,29","38,75"
"05/12/2011","05:00","97,80","53,95","39,98"
"05/12/2011","06:00","128,99","71,15","52,73"
"05/12/2011","07:00","135,01","74,47","55,19"
"05/12/2011","08:00","150,00","82,74","61,32"
"05/12/2011","09:00","169,99","93,77","69,49"
"05/12/2011","10:00","170,00","93,77","69,49"
"05/12/2011","11:00","170,00","93,77","69,49"
"05/12/2011","12:00","168,91","93,17","69,05"
"05/12/2011","13:00","163,06","89,94","66,66"
"05/12/2011","14:00","169,99","93,77","69,49"
"05/12/2011","15:00","169,99","93,77","69,49"
"05/12/2011","16:00","170,00","93,77","69,49"
"05/12/2011","17:00","180,00","99,29","73,58"
"05/12/2011","18:00","175,00","96,53","71,54"
"05/12/2011","19:00","170,00","93,77","69,49"
"05/12/2011","20:00","169,99","93,77","69,49"
"05/12/2011","21:00","169,99","93,77","69,49"
"05/12/2011","22:00","153,67","84,76","62,82"
"05/12/2011","23:00","149,99","82,73","61,31"
"06/12/2011","00:00","148,64","81,99","60,76"
"06/12/2011","01:00","135,00","74,47","55,19"
"06/12/2011","02:00","130,00","71,71","53,14"
"06/12/2011","03:00","110,01","60,68","44,97"
"06/12/2011","04:00","110,00","60,68","44,97"
"06/12/2011","05:00","120,01","66,20","49,06"
"06/12/2011","06:00","129,00","71,16","52,73"
"06/12/2011","07:00","135,01","74,47","55,19"
"06/12/2011","08:00","150,00","82,74","61,32"
"06/12/2011","09:00","170,00","93,77","69,49"
"06/12/2011","10:00","170,00","93,77","69,49"
"06/12/2011","11:00","170,00","93,77","69,49"
"06/12/2011","12:00","169,99","93,77","69,49"
"06/12/2011","13:00","169,99","93,77","69,49"
"06/12/2011","14:00","169,99","93,77","69,49"
"06/12/2011","15:00","169,99","93,77","69,49"
"06/12/2011","16:00","170,00","93,77","69,49"
"06/12/2011","17:00","180,00","99,29","73,58"
"06/12/2011","18:00","170,00","93,77","69,49"
"06/12/2011","19:00","170,00","93,77","69,49"
"06/12/2011","20:00","169,99","93,77","69,49"
"06/12/2011","21:00","169,99","93,77","69,49"
"06/12/2011","22:00","169,99","93,77","69,49"
"06/12/2011","23:00","150,00","82,74","61,32"
"07/12/2011","00:00","145,00","79,67","59,27"
"07/12/2011","01:00","130,00","71,42","53,14"
"07/12/2011","02:00","125,00","68,68","51,10"
"07/12/2011","03:00","99,01","54,40","40,47"
"07/12/2011","04:00","99,01","54,40","40,47"
"07/12/2011","05:00","110,00","60,44","44,97"
"07/12/2011","06:00","124,99","68,67","51,09"
"07/12/2011","07:00","129,00","70,88","52,73"
"07/12/2011","08:00","150,00","82,41","61,32"
"07/12/2011","09:00","169,99","93,40","69,49"
"07/12/2011","10:00","169,99","93,40","69,49"
"07/12/2011","11:00","170,00","93,40","69,49"
"07/12/2011","12:00","169,99","93,40","69,49"
"07/12/2011","13:00","169,99","93,40","69,49"
"07/12/2011","14:00","169,99","93,40","69,49"
"07/12/2011","15:00","169,99","93,40","69,49"
"07/12/2011","16:00","170,00","93,40","69,49"
"07/12/2011","17:00","170,00","93,40","69,49"
"07/12/2011","18:00","170,00","93,40","69,49"
"07/12/2011","19:00","170,00","93,40","69,49"
"07/12/2011","20:00","169,99","93,40","69,49"
"07/12/2011","21:00","169,99","93,40","69,49"
"07/12/2011","22:00","169,92","93,36","69,46"
"07/12/2011","23:00","150,00","82,41","61,32"
"08/12/2011","00:00","149,99","82,03","61,27"
"08/12/2011","01:00","139,00","76,02","56,78"
"08/12/2011","02:00","128,00","70,01","52,29"
"08/12/2011","03:00","104,01","56,89","42,49"
"08/12/2011","04:00","104,01","56,89","42,49"
"08/12/2011","05:00","110,01","60,17","44,94"
"08/12/2011","06:00","129,22","70,67","52,79"
"08/12/2011","07:00","138,99","76,02","56,78"
"08/12/2011","08:00","165,00","90,24","67,40"
"08/12/2011","09:00","169,99","92,97","69,44"
"08/12/2011","10:00","169,99","92,97","69,44"
"08/12/2011","11:00","169,99","92,97","69,44"
"08/12/2011","12:00","169,99","92,97","69,44"
"08/12/2011","13:00","169,99","92,97","69,44"
"08/12/2011","14:00","169,99","92,97","69,44"
"08/12/2011","15:00","169,99","92,97","69,44"
"08/12/2011","16:00","169,99","92,97","69,44"
"08/12/2011","17:00","170,00","92,98","69,45"
"08/12/2011","18:00","170,00","92,98","69,45"
"08/12/2011","19:00","169,99","92,97","69,44"
"08/12/2011","20:00","169,99","92,97","69,44"
"08/12/2011","21:00","163,75","89,56","66,89"
"08/12/2011","22:00","166,00","90,79","67,81"
"08/12/2011","23:00","150,00","82,04","61,28"
"09/12/2011","00:00","130,01","71,39","53,26"
"09/12/2011","01:00","129,00","70,83","52,84"
"09/12/2011","02:00","111,38","61,16","45,63"
"09/12/2011","03:00","109,00","59,85","44,65"
"09/12/2011","04:00","109,00","59,85","44,65"
"09/12/2011","05:00","109,01","59,86","44,65"
"09/12/2011","06:00","128,01","70,29","52,44"
"09/12/2011","07:00","129,99","71,38","53,25"
"09/12/2011","08:00","150,00","82,36","61,45"
"09/12/2011","09:00","169,99","93,34","69,63"
"09/12/2011","10:00","169,99","93,34","69,63"
"09/12/2011","11:00","169,99","93,34","69,63"
"09/12/2011","12:00","149,99","82,36","61,44"
"09/12/2011","13:00","150,00","82,36","61,45"
"09/12/2011","14:00","155,00","85,11","63,49"
"09/12/2011","15:00","154,46","84,81","63,27"
"09/12/2011","16:00","169,99","93,34","69,63"
"09/12/2011","17:00","169,99","93,34","69,63"
"09/12/2011","18:00","157,99","86,75","64,72"
"09/12/2011","19:00","150,00","82,36","61,45"
"09/12/2011","20:00","149,99","82,36","61,44"
"09/12/2011","21:00","149,99","82,36","61,44"
"09/12/2011","22:00","149,99","82,36","61,44"
"09/12/2011","23:00","149,93","82,32","61,42"
"10/12/2011","00:00","149,99","82,36","61,43"
"10/12/2011","01:00","140,00","76,88","57,33"
"10/12/2011","02:00","130,00","71,39","53,24"
"10/12/2011","03:00","125,01","68,65","51,20"
"10/12/2011","04:00","119,97","65,88","49,13"
"10/12/2011","05:00","125,01","68,65","51,20"
"10/12/2011","06:00","125,01","68,65","51,20"
"10/12/2011","07:00","129,00","70,84","52,83"
"10/12/2011","08:00","150,00","82,37","61,43"
"10/12/2011","09:00","164,88","90,54","67,52"
"10/12/2011","10:00","169,99","93,34","69,62"
"10/12/2011","11:00","170,00","93,35","69,62"
"10/12/2011","12:00","169,99","93,34","69,62"
"10/12/2011","13:00","169,99","93,34","69,62"
"10/12/2011","14:00","169,99","93,34","69,62"
"10/12/2011","15:00","169,99","93,34","69,62"
"10/12/2011","16:00","169,99","93,34","69,62"
"10/12/2011","17:00","170,00","93,35","69,62"
"10/12/2011","18:00","169,99","93,34","69,62"
"10/12/2011","19:00","169,99","93,34","69,62"
"10/12/2011","20:00","158,00","86,76","64,71"
"10/12/2011","21:00","150,00","82,37","61,43"
"10/12/2011","22:00","153,19","84,12","62,74"
"10/12/2011","23:00","149,99","82,36","61,43"
