Date,TL
2020-01-04 00:00:00,323.02
2020-01-04 01:00:00,323.18
2020-01-04 02:00:00,320.48
2020-01-04 03:00:00,318.2
2020-01-04 04:00:00,260.59
2020-01-04 05:00:00,268.48
2020-01-04 06:00:00,320.09
2020-01-04 07:00:00,324.08
2020-01-04 08:00:00,328.59
2020-01-04 09:00:00,333.34
2020-01-04 10:00:00,338.34
2020-01-04 11:00:00,340.01
2020-01-04 12:00:00,336.46
2020-01-04 13:00:00,336.65
2020-01-04 14:00:00,337.27
2020-01-04 15:00:00,336.25
2020-01-04 16:00:00,338.77
2020-01-04 17:00:00,343.98
2020-01-04 18:00:00,345.0
2020-01-04 19:00:00,342.63
2020-01-04 20:00:00,339.38
2020-01-04 21:00:00,336.05
2020-01-04 22:00:00,331.96
2020-01-04 23:00:00,332.28
2020-01-05 00:00:00,323.52
2020-01-05 01:00:00,323.38
2020-01-05 02:00:00,320.57
2020-01-05 03:00:00,280.01
2020-01-05 04:00:00,221.35
2020-01-05 05:00:00,249.99
2020-01-05 06:00:00,279.56
2020-01-05 07:00:00,304.94
2020-01-05 08:00:00,250.0
2020-01-05 09:00:00,250.0
2020-01-05 10:00:00,319.99
2020-01-05 11:00:00,324.03
2020-01-05 12:00:00,323.6
2020-01-05 13:00:00,324.39
2020-01-05 14:00:00,324.17
2020-01-05 15:00:00,323.09
2020-01-05 16:00:00,322.7
2020-01-05 17:00:00,327.16
2020-01-05 18:00:00,329.71
2020-01-05 19:00:00,326.26
2020-01-05 20:00:00,322.73
2020-01-05 21:00:00,320.0
2020-01-05 22:00:00,298.78
2020-01-05 23:00:00,295


