Date,TL
2020-01-04 00:00:00,323.02
2020-01-04 00:00:00,293
2020-01-04 01:00:00,280
2020-01-04 02:00:00,242
2020-01-04 03:00:00,210
2020-01-04 04:00:00,150
2020-01-04 05:00:00,144
2020-01-04 06:00:00,225
2020-01-04 07:00:00,233
2020-01-04 08:00:00,246
2020-01-04 09:00:00,252
2020-01-04 10:00:00,221
2020-01-04 11:00:00,229
2020-01-04 12:00:00,225
2020-01-04 13:00:00,219
2020-01-04 14:00:00,211
2020-01-04 15:00:00,216
2020-01-04 16:00:00,210
2020-01-04 17:00:00,245
2020-01-04 18:00:00,210
2020-01-04 19:00:00,224
2020-01-04 20:00:00,212
2020-01-04 21:00:00,225
2020-01-04 22:00:00,246
2020-01-04 23:00:00,266
2020-01-05 00:00:00,231
2020-01-05 01:00:00,180
2020-01-05 02:00:00,175
2020-01-05 03:00:00,150
2020-01-05 04:00:00,103
2020-01-05 05:00:00,124
2020-01-05 06:00:00,135
2020-01-05 07:00:00,205
2020-01-05 08:00:00,145
2020-01-05 09:00:00,146
2020-01-05 10:00:00,225
2020-01-05 11:00:00,225
2020-01-05 12:00:00,204
2020-01-05 13:00:00,246
2020-01-05 14:00:00,238
2020-01-05 15:00:00,256
2020-01-05 16:00:00,268
2020-01-05 17:00:00,245
2020-01-05 18:00:00,225
2020-01-05 19:00:00,256
2020-01-05 20:00:00,245
2020-01-05 21:00:00,266
2020-01-05 22:00:00,240
2020-01-05 23:00:00,235
