Date,TL
2020-01-04 00:00:00,323.02
2020-01-04 01:00:00,413
2020-01-04 02:00:00,423
2020-01-04 03:00:00,402
2020-01-04 04:00:00,340
2020-01-04 05:00:00,348
2020-01-04 06:00:00,408
2020-01-04 07:00:00,402
2020-01-04 08:00:00,404
2020-01-04 09:00:00,411
2020-01-04 10:00:00,415
2020-01-04 11:00:00,422
2020-01-04 12:00:00,433
2020-01-04 13:00:00,432
2020-01-04 14:00:00,429
2020-01-04 15:00:00,419
2020-01-04 16:00:00,421
2020-01-04 17:00:00,421
2020-01-04 18:00:00,456
2020-01-04 19:00:00,421
2020-01-04 20:00:00,415
2020-01-04 21:00:00,410
2020-01-04 22:00:00,417
2020-01-04 23:00:00,425
2020-01-05 00:00:00,415
2020-01-05 01:00:00,404
2020-01-05 02:00:00,409
2020-01-05 03:00:00,375
2020-01-05 04:00:00,345
2020-01-05 05:00:00,335
2020-01-05 06:00:00,355
2020-01-05 07:00:00,365
2020-01-05 08:00:00,345
2020-01-05 09:00:00,375
2020-01-05 10:00:00,402
2020-01-05 11:00:00,414
2020-01-05 12:00:00,412
2020-01-05 13:00:00,408
2020-01-05 14:00:00,404
2020-01-05 15:00:00,390
2020-01-05 16:00:00,388
2020-01-05 17:00:00,401
2020-01-05 18:00:00,410
2020-01-05 19:00:00,425
2020-01-05 20:00:00,394
2020-01-05 21:00:00,391
2020-01-05 22:00:00,375
2020-01-05 23:00:00,377
