Date,TL
2019-12-11 00:00:00,314.26
2019-12-11 01:00:00,311.51
2019-12-11 02:00:00,254.58
2019-12-11 03:00:00,254.59
2019-12-11 04:00:00,200.01
2019-12-11 05:00:00,200.01
2019-12-11 06:00:00,310.63
2019-12-11 07:00:00,312.22
2019-12-11 08:00:00,319.7
2019-12-11 09:00:00,329.0
2019-12-11 10:00:00,331.64
2019-12-11 11:00:00,330.82
2019-12-11 12:00:00,323.73
2019-12-11 13:00:00,325.8
2019-12-11 14:00:00,328.96
2019-12-11 15:00:00,329.65
2019-12-11 16:00:00,333.51
2019-12-11 17:00:00,335.01
2019-12-11 18:00:00,334.78
2019-12-11 19:00:00,325.15
2019-12-11 20:00:00,324.3
2019-12-11 21:00:00,322.78
2019-12-11 22:00:00,310.56
2019-12-11 23:00:00,308.88
2019-12-12 00:00:00,314.98
2019-12-12 01:00:00,312.71
2019-12-12 02:00:00,311.1
2019-12-12 03:00:00,254.58
2019-12-12 04:00:00,254.59
2019-12-12 05:00:00,290.0
2019-12-12 06:00:00,308.88
2019-12-12 07:00:00,312.77
2019-12-12 08:00:00,321.53
2019-12-12 09:00:00,333.86
2019-12-12 10:00:00,335.0
2019-12-12 11:00:00,335.01
2019-12-12 12:00:00,329.15
2019-12-12 13:00:00,330.24
2019-12-12 14:00:00,332.4
2019-12-12 15:00:00,331.75
2019-12-12 16:00:00,334.99
2019-12-12 17:00:00,338.0
2019-12-12 18:00:00,335.01
2019-12-12 19:00:00,332.06
2019-12-12 20:00:00,329.63
2019-12-12 21:00:00,324.99
2019-12-12 22:00:00,315.0
2019-12-12 23:00:00,310.03
2019-12-13 00:00:00,321.34
2019-12-13 01:00:00,314.99
2019-12-13 02:00:00,310.01
2019-12-13 03:00:00,268.99
2019-12-13 04:00:00,200.0
2019-12-13 05:00:00,230.01
2019-12-13 06:00:00,310.18
2019-12-13 07:00:00,316.28
2019-12-13 08:00:00,327.1
2019-12-13 09:00:00,335.0
2019-12-13 10:00:00,335.0
2019-12-13 11:00:00,335.0
2019-12-13 12:00:00,321.17
